"             Sales, Purchase & Closing Stock 01-08-2022-01-08-2022",,,
SNo.,ITEM DESCRIPTION,PURCHASE,C.STOCK REMARK
46,AZUSA T 8/40 TAB              1*10 TAB,0,1
47,B-FIT CD TAB                  1*10TAB,0,5
48,BANOCIDE FORTE TAB            1*30TAB,0,8
49,BECOALPHA                     1*10,0,0
50,BECOSULES CAP                 1*20CAP,0,20
51,BECOSULES PERFORMANCE         1*15CAP,0,0
52,BEDAC TAB                     1*10TAB,0,10
53,BELAMINO TAB                  1*10 TAB,3,3
54,BELMOZ CREAM                  10G,2,2
55,BETACAP 20MG TAB              1*10TAB,0,4
56,BETACAP TR 40MG CAP           1*10CAP,0,15
57,BETONIN AST SYP               200ML,0,4
58,BILAST 20MG                   1*10TAB,4,3
59,BIO D3 FEM RF CAP             1*10CAP,0,2
60,BIO D3 PLUS CAP               1*15CAP,0,2
61,BIO D3 STRONG CAP             1*10CAP,0,5
62,BOROLINE CREAM                20GM,0,1
63,BOURNVITA POUCH 1KG           1KG,0,6
64,BRAVIA DSR CAP                1*10CAP,6,9
65,BUDAMATE 400 TRANSCAP         30CAP,0,3
66,BUSPIN 10MG TAB               1*10TAB,4,8
67,CALINTA FRAC TAB              1*15TAB,3,4
68,CALTEN D 500MG TAB            1*15TAB,0,0
69,CANDIBIOTIC PLUS EAR DROP     5ML,0,4
70,CANDID POWDER                 60GM,0,8
71,CANDIFORCE 200MG CAP          1*7CAP,0,4
72,CARBOPHAGE XR 500MG TAB       1*10TAB,0,6
73,CARCA 3.125MG TAB             1*15TAB,0,4
74,CARCA 6.25MG TAB              1*15TAB,10,11
75,CARCA CR 10MG TAB             1X15,0,2
76,CARDACE 2.5MG TAB             1*15TAB,10,13
77,CARDACE 5 MG TAB              1*15TAB,3,0
78,CARDEXA 50 TAB                1X10,0,3
79,CARDITEL 40MG TAB             1*10TAB,5,5
80,CARIPILL TAB                  1*15TAB,0,4
81,CEFAKIND-CV 500MG TAB         1*10TAB,0,1
82,CELEVIDA POWDER               400GM,0,1
83,CELIN 500MG TAB               1*25TAB,0,9
84,CEPODEM 200MG TAB             1*10TAB,0,2
85,CERECETAM SYRUP               100ML,3,3
86,CEREGROW REFIL                300GM,0,6
87,CERELAC 1 WHEAT APPLE CARROT  300GM,0,4
88,CERELAC 5 5GRAINS FRUITS      300GM,0,2
89,CERNOS CAP                    1*10CAP,0,4
90,CETANIL M 50MG TAB            1*10TAB,0,5
91,CETCIP TAB                    1*10TAB,0,16
92,CETCIP-L TAB                  1*10TAB,0,28
93,CFLOW D TAB                   1*10TAB,0,2
94,CILACAR 10 TAB                1*15TAB,0,14
95,CILAHEART 10MG TAB            1*10TAB,4,2
96,CIPLAR 40MG TAB               1*15TAB,0,5
97,CISS Q TAB                    1*10TAB,0,0
98,CLAVAM 625MG TAB              1*10TAB,0,9
99,CLAVAM DRY SYP                30ML,0,1
100,CLOBA 10MG TAB                1*15TAB,5,8
101,COAID DROP                    15ML,0,3
102,COMPLAMINA TAB                1*10TAB,10,12
103,COMPLAN ROYAL CHOCO RIFIL     500GM,0,10
104,CONCOR AM 5MG TAB             1*10TAB,0,6
105,CONTRACTUBEX GEL              20GM,0,0
106,CORDARONE 100MG TAB           1*15TAB,0,9
107,COREX LS SYP                  100ML,0,3
108,COSVATE CREAM                 30GM,3,3
109,CRESP 40MG INJ                0.3ML,0,3
110,CRIXAN 500 TAB                1*10TAB,3,3
111,CTD 6.25MG TAB                1*15TAB,0,4
112,CYPON DROP                    15ML,0,6
113,D RISE 60K CAP                1*4CAP,0,5
114,D VENIZ 100MG TAB             1*10TAB,0,2
115,DAJIO M 500 TAB               1*10TAB,6,7
116,DAPAVEL 10 TAB                1*10TAB,5,8
117,DAROLAC CAP                   1*10CAP,0,2
118,DECADURABOLIN 50MG INJ        1ML,0,0
119,DEFCORT SYP                   60ML,0,1
120,DEPRAN L TAB                  1X15TAB,0,5
121,DERIPHYLLIN RET 300MG TAB     1*30TAB,0,4
122,DETTOL LIQUID                 250ML,0,20
123,DETTOL SOAP ORIGINAL          3+1*75GM,0,8
124,DEVIRY 10MG TAB               1*10TAB,0,3
125,DEXORANGE CAP                 30CAP,0,5
126,DEXTROSE 5% IV                500ML,0,0
127,DIAMICRON 80MG TAB            1*10TAB,0,4
128,DIAMICRON XR 60MG TAB         1*14TAB,0,3
129,DICORATE ER 500MG TAB         1*10TAB,0,8
130,DIGENE GEL MINT               200ML,0,3
131,DIGENE GEL MINT               450ML,0,2
132,DILNIP T 40 TAB               1*15TAB,4,3
133,DILZEM-30MG TAB               1*15TAB,0,12
134,DIPRIL TAB                    1*10TAB,0,22
135,DJET 60K CAP                  1*4CAP,5,8
136,DNS BOTTLE                    500ML,0,4
137,DORTAS T EYE DROP             5ML,0,1
138,DOXOLIN 400MG TAB             1*30TAB,0,1
139,DOXYBOND LB CAP               1*10CAP,3,5
140,DUBINOR TABLET                1*10TAB,0,2
141,DULOREN 20 TAB                1*10TAB,0,4
142,DUMAN 0.5MG TAB               1*10TAB,0,1
143,DUOLIN ROTACAP                60CAP,0,3
144,DUOVESTIN TAB                 1*10TAB,3,4
145,DUPHALAC SYRUP                150ML,0,2
146,DUPHASTON 10MG TAB            1*10TAB,10,9
147,DV 60K CAP.                   1*8CAP,0,1
148,DYDROPREG                     1*10,0,1
149,DYNAGLIPT M TABLET            1*10TAB,12,13
150,DYNAPAR QPS SOLU              30ML,2,2
151,DYTOR 10MG TAB                1*15TAB,0,7
152,DYTOR PLUS 10MG TAB           1*15TAB,0,1
153,ECOD PLUS CAP                 1*15CAP,0,1
154,ECOSPRIN 75MG TAB             1*14TAB,25,32
155,ECOSPRIN AV 150/20MG CAP      1*10CAP,10,10
156,ECOSPRIN AV 75 CAP            1*15CAP,0,9
157,ECOSPRIN GOLD 10MG CAP        1*15CAP,10,11
158,ECOSPRIN GOLD 20MG CAP        1*15CAP,0,2
159,ELECTRAL POWDER               1X21.8GM,0,83
160,ELERICH PLUS CAPS             1X10,4,1
161,EMODEL LOTION                 125ML,0,0
162,ENDOREX OD CAP                1*10CAP,3,5
163,ENZAR FORTE TAB               1*15TAB,0,3
164,ENZOFLAM SP TAB               1*10,0,4
165,EPISOFT CLEANSING LOTION      125ML,0,0
166,ERITEL LN 40MG TAB            1X15TAB,0,5
167,ESTRABET 2MG TAB              28TAB,0,1
168,ETILAAM PRO 20MG TAB          1*10TAB,0,9
169,ETONOW MR TAB                 1*10TAB,5,6
170,EUCLIDE M 30 OD TAB           1*10TAB,0,1
171,EVION 400MG CAP               1*10CAP,0,10
172,EVITO CAP                     1*10CAP,3,4
173,EZOLENT-0.5MG TAB             1*10TAB,5,7
174,FEBUGET 40 TAB                1*15,0,0
175,FEBUSTAT 40MG TAB             1*15TAB,0,4
176,FLODART TAB                   1*10TAB,0,2
177,FLUCORT CREAM                 20GM,0,0
178,FLUTICORT F 250 INHALER       1PCS,0,0
179,FOLVITE TAB                   1*45TAB,0,4
180,FOMTIDE 200 INHHALER          1PCS,0,2
181,FORACORT 400 ROTACAP          30CAP,0,3
182,FORACORT FORTE ROTACAP        30CAP,0,1
183,FRESUBIN-DM POWDER            400GM,2,2
184,FRISIUM 5MG TAB               1*15TAB,10,11
185,G-FOLVIN-LB RF TAB            1*10TAB,0,22
186,GABAGAL NT TAB                1*10TAB,5,5
187,GABAPIN 100MG TAB             1*15TAB,0,5
188,GABAPIN NT TAB                1*15TAB,0,5
189,GASFAST 40 TAB                1*10TAB,5,7
190,GEMCAL CAP                    1*15CAP,5,14
191,GEMCAL D3 CAP                 1*15CAP,5,5
192,GEMCAL KIT TAB                1KIT,3,3
193,GEMCAL MOM CAP                30CAP,0,1
194,GEMER 2MG TAB                 1*15TAB,0,5
195,GEMER DS 1MG TAB              1*10TAB,0,6
196,GEMER DS 2MG TAB              1*10TAB,0,0
197,GEMER P 1MG TAB               1*10TAB,1,8
198,GEMINOR M 1 MG TAB            1*15TAB,0,1
199,GEMINOR M 2 TAB               1*15TAB,0,6
200,GENPREG NT TAB                1*10TAB,2,3
201,GESTOFIT-300MG SR TAB         1*10TAB,0,0
202,GIBTULIO 10MG TAB             1*10TAB,0,11
203,GLIAREN D TAB                 1*10TAB,0,2
204,GLIMFIRST MV 2*               1X15 TAB,5,7
205,GLIMIPREX MF 1/500MG TAB      1*10TAB,0,14
206,GLIMISAVE M 1MG TAB           1*15TAB,0,2
207,GLIZID M TAB                  1*15TAB,0,6
208,GLUCO ONE MASHINE BG-03       1KIT,0,5
209,GLUCON D NIMBU PANI RIFFIL    450GM,0,0
210,GLUCORED FORTE TAB            1*10TAB,0,2
211,GLUCORYL M 2 TAB              1*15TAB,0,12
212,GLUCORYL MV 1/0.3             1*15TAB,0,0
213,GLUCORYL MV 1MG TAB           1*15TAB,0,8
214,GLUCORYL MV 2/0.3MG TAB       1*15TAB,4,5
215,GLUCRETA 10 TAB               10TAB,0,2
216,GLUFLOZIN 10 TAB              1*10TAB,0,3
217,GLUXIT 5 TAB                  1*10TAB,0,1
218,GLYCIPHAGE SR 500MG TAB       1*10TAB,0,7
219,GLYCOMET 1GM TAB              1*15TAB,0,3
220,GLYCOMET GP 1MG TAB           1*15TAB,0,10
221,GLYCOMET GP 2 FORTE TAB       1*10TAB,0,8
222,GLYCOMET GP 2MG TAB           1*15TAB,0,3
223,GLYCOMET SR 500MG TAB         1*20TAB,0,8
224,GLYPTEN M FORTE TAB           1*10TAB,5,4
225,GLYTRIN 20MG TAB              1*10TAB,0,2
226,GONABLOK 100MG CAP            1*10CAP,0,1
227,GONADIL PLUS CAP              1*10CAP,3,4
228,GRANDRED-XT TAB               1*10TAB,3,3
229,GRANDSTAT A CAP               1*10CAP,5,7
230,GTN SORBITRATE CR 6.4MG TAB   30TAB,3,3
231,GUDGESIC NF OIL               1*30ML,0,2
232,HAEM UP GEMS CAPS             100 CAPS,3,1
233,HEALTH OK TAB                 1*15TAB,3,3
234,HEPATOGLOBINE SYRUP           450ML,2,3
235,HERPERAX OINT                 5GM,0,0
236,HIFENAC P TAB                 1*15TAB,0,1
237,HIMALAYA BABY CREAM           50GM,0,2
238,HISONE 10MG TAB               1*10TAB,10,10
239,HORLICKS LITE JAR             450G,0,5
240,HORLICKS PAUCH                1KG,0,5
241,HORLICKS PAUCH                500GM,0,23
242,HUMAN MIXTARD 40IU            10ML,0,8
243,IBUGESIC PLUS SYRUP           100ML,0,0
244,IMDUR 30MG TAB                1*30TAB,5,3
245,INDITEL D CAP                 1*10CAP,0,1
246,INDITEL-40MG TAB              1*15TAB,0,4
247,INSTARAFT SYP                 100ML,0,0
248,INSUGEN 30/70 40IU            10ML,0,3
249,INVOKANA 100MG TAB            1*10TAB,0,3
250,ISONORM 30MG SR TAB           1*10TAB,0,5
251,ISORDIL 5MG TAB               1*10TAB,0,16
252,ISRYL-M 1MG TAB               1*15TAB,0,3
253,ISTAMET 50/1000MG TAB         1*15TAB,0,2
254,ITONE EYE DROP                10ML,0,5
255,ITRADUS 100 TAB               1*10 TAB,0,1
256,IVAMAC 5MG TAB                1*10TAB,0,3
257,JANUVIA 100MG TAB             1*7TAB,0,2
258,JARDIANCE MET 12.5/500MG TAB  1*10TAB,0,5
259,JOINTACE C 2 TAB              1*10TAB,0,0
260,JOINTACE TRIO CAP             1*10CAP,0,1
261,JUPIROS GOLD 20MG CAP         1*10CAP,5,3
262,KENACORT 40MG INJ             1ML,3,4
263,KETOMAC SHAMPOO               110ML,3,3
264,KEYFER-XT TAB                 1*10,5,6
265,KLMKLIN FACE WASH             100GM,0,2
266,KOFLET SYRUP                  100ML,0,3
267,KOJIGLO GEL                   15GM,0,0
268,LACOSAM 100MG TAB             1*10TAB,0,5
269,LACTIHEP PLUS SYP             250ML,0,1
270,LAMEZ OD 50MG TAB             1*10TAB,2,2
271,LAMINO RESPI POWDER           200GM,0,0
272,LANTUS CARTRIDGE              3ML,0,11
273,LANUM C 500MG TAB             1*10TAB,10,6
274,LASILACTONE 50MG TAB          1*10TAB,10,15
275,LEARNOL PLUS SYP              200ML,0,0
276,LETOVAL TAB                   1*5TAB,0,0
277,LEVIPIL 500MG TAB             1*10TAB,0,11
278,LEVOLIN SYRUP                 100ML,0,1
279,LEVOSIZ 5MG TAB               1*15TAB,0,5
280,LIMCEE + TAB                  1*15TAB,0,2
281,LIPIFUSE TAB                  1*10TAB,0,0
282,LIVSOM CAP                    1*10CAP,0,4
283,LULIFORD CREAM                1*20GM,0,4
284,LULIMAC CREAM                 20GM,0,0
285,LUMIVOID CREAM                15G,1,0
286,LUPIVESTIN 250MG TAB          1*10TAB,0,1
287,M BOND CAP                    1*10CAP,10,11
288,M.V.I.AMPUL                   10ML,0,8
289,MACPRIL-5MG TAB               1*10TAB,0,4
290,MACTOR ASP 75MG CAP           1*10CAP,0,2
291,MAXGALIN 50MG CAP             1*10CAP,0,7
292,MAXNURON FD TAB               1*10TAB,0,4
293,MAXNURON LC TAB               31X10,0,3
294,MDD XR 100MG TAB              1*10TAB,4,2
295,MEBEGESIC OIL                 60ML,2,2
296,MEDISALIC OINT                20GM,12,12
297,MEDITROL D3 60K CAP           1*4CAP,0,1
298,MEDROL 8MG TAB                1*14TAB,3,4
299,MEFTAL FORTE TAB              1*10TAB,0,6
300,MEFTAL SPAS TAB               1*10TAB,0,15
301,MEGA FLEXON TAB               1*10TAB,0,1
302,MEGANEURON 500MG INJ          1ML,10,10
303,MENABOL TAB                   1*20TAB,0,7
304,MEPRESSO-D VIAL               2ML,0,0
305,MET XL 50MG TAB               1*20TAB,0,6
306,MET XL-T 50 TAB               1*20TAB,0,0
307,MET-PCO CARE TAB              1*10TAB,3,5
308,METABOLIS TAB                 1*10TAB,0,0
309,METCY AM 50MG TAB             1*10TAB,0,2
310,METOCARD XL 25MG TAB          1*10TAB,0,8
311,METOCARD-XL 75MG TAB          1*10TAB,0,5
312,METROGYL ER TAB               1*10TAB,0,3
313,METRON I.V                    100ML,0,8
314,MIGRABETA PLUS TAB            1*10TAB,3,2
315,MINILACTONE TAB               1*10TAB,0,3
316,MINOFINA TOPICAL SOLUTION     1*60ML,4,2
317,MINOZ OD 100MG CAP            1*10CAP,4,4
318,MINTOP 10% LOTION             60ML,1,1
319,MIRAGO 25 TAB                 1*10TAB,0,4
320,MIRTAZ 15MG TAB               1*10TAB,0,0
321,MODLIP-F TAB                  1*10TAB,0,4
322,MODULA 5MG TAB                1*10TAB,5,8
323,MOMATE F CREAM                15GM,0,1
324,MOMESONE CREAM                25GM,3,3
325,MONTAIR FX TAB                1*15TAB,0,2
326,MONTEK FX TAB                 1*10TAB,0,0
327,MONTEK LC TAB                 1*10TAB,0,2
328,MORR 5% SOLUTION              60ML,0,3
329,MORR PRO LOTION               1*60ML,0,0
330,MOSI-D EYE DROP               1X10ML,0,1
331,MOXCLAV 625MG TAB             1*10TAB,0,1
332,MUCAINE GEL MINT              350ML,0,2
333,MUCIDAY TAB                   1*10TAB,0,1
334,MYCODERM POWDER               150GM,0,0
335,MYORIL 8MG CAP                1*10CAP,0,1
336,MYOTOP 150MG TAB              1*10TAB,0,6
337,NANOFAST GEL                  30GM,0,0
338,NATRISE 15MG TAB              1*4TAB,3,3
339,NAXDOM 500MG TAB              1*15TAB,0,13
340,NEFROSAVE FORTE TAB           1*15TAB,0,1
341,NEKSIUM 40MG TAB              1*10TAB,5,5
342,NEO MERCAZOLE 10MG TAB        100TAB,0,0
343,NEOPEPTINE SYP                100ML,0,2
344,NERVICOOL-OD                  1X10,5,5
345,NERVUP-PG CAP                 10 TAB,4,5
346,NEUROBION FORTE TAB           1*30TAB,0,17
347,NEUROCET 800MG TAB            1*10TAB,0,8
348,NEUROCETAM SYRUP              100ML,2,2
349,NEXIPRIDE 50MG TAB            1*10TAB,0,5
350,NEXIRON LP TAB                1*10TAB,12,17
351,NEXITO PLUS TAB               1*10TAB,0,12
352,NICARDIA XL 30MG TAB          1*10TAB,0,6
353,NICARDIA XL 60MG TAB          1*10TAB,0,6
354,NITRO 2.6MG TAB               30TAB,0,1
355,NODOSIS GST TAB               1*10TAB,20,21
356,NORFLOX TZ TAB                1*10TAB,0,9
357,NOVOMIX 30 PENFILL            3ML,5,12
358,NOWORM TAB                    1*10TAB,0,4
359,NUFLAM TH-8                   1X5,0,2
360,NUROGEN INJ                   1ML,0,6
361,NUROKIND LC TAB               1*15TAB,6,6
362,NUZET 800MG TAB               1*10TAB,0,12
363,NUZON-OD TAB                  1*10TAB,0,3
364,OA C2 TAB                     10TAB,3,4
365,ODEPRAZ D CAP                 1*10CAP,5,7
366,OLEANZ PLUS TAB               1*10TAB,0,11
367,OLET 10MG                     1X15,0,5
368,OLMETIME 20MG TAB             1*10TAB,0,2
369,OLMY 20MG TAB                 1*10TAB,0,6
370,OLYMPRIX M 1000MG TAB         1*15TAB,0,3
371,OMIFER O TAB                  1*10TAB,0,1
372,OMNIGEL SPRAY                 78.6ML,0,5
373,ONDEM SYRUP                   30ML,0,5
374,ORAX TAB                      1*10TAB,5,2
375,ORCERIN GM TAB                1*15TAB,0,5
376,OROFER FCM INJ                10ML,2,2
377,ORVAS-10MG TAB                1*7TAB,0,2
378,OSTOFAST CAP                  1X10,0,3
379,OSTOSHINE TAB                 1*10TAB,2,2
380,OTEK AC EAR DROP              5ML,0,2
381,OXETOL 450MG TAB              1*10TAB,0,3
382,OZOMET G 2 TAB                1*10TAB,10,13
383,OZOMET PG 2 MG TAB            1*15TAB,10,10
384,PACITANE 2MG TAB              1*30TAB,0,2
385,PAMPERS PANT MED              23PCS,0,13
386,PAN 40MG TAB                  1*15TAB,0,3
387,PAN D CAP                     1*15CAP,0,8
388,PAN JUNIOR TAB                1X10,3,2
389,PANFREE L CAP                 1*10CAP,10,10
390,PANTOCID 40MG TAB             1*15TAB,0,7
391,PANTOCID DSR CAP              1*15CAP,0,0
392,PANTOP LS CAP                 1*10CAP,3,3
393,PANTOP-40 IV VIAL             1VIAL,0,4
394,PATADIN                       1*10TAB,4,0
395,PEDIASURE CHOCLATE JAR        400GM,2,2
396,PERINORM CD CAP               1*10CAP,0,1
397,PEXEP CR 25MG TAB             1*10TAB,0,8
398,PILEX TAB                     60TAB,0,1
399,PINK XT TAB                   1*10TAB,0,4
400,PINOM-A 40MG TAB              1*15TAB,0,2
401,PIONEER-GM 1 MG TAB           1*15TAB,4,6
402,PIONORM 15MG TAB              1*10TAB,7,10
403,PIOPLUS 2MG TAB               1*15TAB,0,3
404,PLANOKUF SYRUP                100ML,0,0
405,POLYBION SF SYRUP             400ML,0,0
406,PRAZOPRESS XL 5MG TAB         1*30TAB,0,1
407,PREGABID M OD 100MG TAB       1*10TAB,2,3
408,PREGABID NT TAB               1*15TAB,5,7
409,PREPRO IBS CAP                1*10CAP,3,3
410,PROLOMET XL 25MG TAB          1*10TAB,0,14
411,PROLOX 10% SOL.               1PSC,1,1
412,PROLUTON DEPOT 500MG INJ      2ML,0,4
413,PROTERA 40MG TAB              1*15TAB,0,3
414,PROTINEX TASTY CHOCO          400GM,0,1
415,PROTINULES POWDER CHOLATE     200GM,1,0
416,PROXYM-ER 300MG TAB           1*10TAB,0,1
417,PRUGO-25MG TAB                1*15TAB,0,8
418,PRUVICT 2MG TAB               1*10TAB,0,5
419,PUDIN HARA CAP                1*10CAP,0,29
420,PYGLO TAB                     1*15TAB,0,0
421,Q4LIC TAB                     1*10TAB,5,6
422,QUTAN 100MG TAB               1*10TAB,0,5
423,RABEMAC DSR CAP               1*15CAP,0,2
424,RABIUM DSR CAP                1*15CAP,0,4
425,RABLET 20MG TAB               1*15TAB,0,3
426,RABOKAN 20MG TAB              1*10TAB,0,5
427,RABOKAN DSR CAP               1*10CAP,0,4
428,RACIPER D CAP                 1*15CAP,3,4
429,RAMISTAR 5MG TAB              1*15TAB,0,1
430,REESHAPE 120MG CAP            1*15CAP,0,1
431,REJOICE CD3 TAB               1*10TAB,0,3
432,REJUCUS CD3 TAB               1*10TAB,0,4
433,REJUNEX INJ                   1*1ML,5,6
434,REMO-ZEN V TAB                1*10TAB,0,0
435,REMYLIN TAB                   1*10TAB,0,6
436,RENOGARD TAB                  1*10TAB,3,6
437,RENOPRESS XL 2.5 TAB          1*10TAB,0,3
438,RENOPRESS XL 5MG TAB          1*10TAB,0,4
439,RENOQUE CAP                   1*10CAP,4,2
440,REPACE A TAB                  1*10TAB,0,2
441,RESTFULL*                     10 TAB,0,2
442,REVELOL XL 50MG TAB           1*15TAB,0,4
443,REXCOF DX SYRUP               100ML,0,7
444,REZECORT CR 300MG TAB         1*10TAB,10,10
445,REZEPAM 2MG TAB               1*10TAB,20,22
446,RIFAGUT 550MG TAB             1*10TAB,0,6
447,RINGER LACTAE                 500ML,10,10
448,RIVABAN 10 TAB                1*14TAB,0,1
449,RIZ LS TAB                    1*10TAB,0,1
450,RLZ 500MG TAB                 1*10TAB,0,12
451,ROSULESS C 10 TAB             1*10TAB,0,1
452,ROSUMAC ASP CAP               1*10CAP,0,0
453,ROSUVAS 20MG TAB              1*10TAB,5,7
454,ROSUVAS 5MG TAB               1*15TAB,0,3
455,SAAZ DS TAB                   1*10TAB,0,11
456,SAMION CD3 TAB                1*10TAB,5,7
457,SANIVIDOL SYP                 360ML,0,0
458,SARTEL LN-40 TAB              1*10TAB,0,3
459,SARTEL-40MG TAB               1*15TAB,0,0
460,SAZO 500MG TAB                1*15TAB,0,11
461,SENQUEL-F PASTE               100GM,0,1
462,SENSODYNE BRUSH                1PCS,0,6
463,SEROFLO 250 ROTACAP           30CAP,0,1
464,SERTASPOR CREAM               15GM,0,4
465,SHELCAL 500MG TAB             1*15TAB,0,9
466,SHELCAL XT TAB                1*15TAB,0,3
467,SIBELIUM 5MG TAB              1*30TAB,0,1
468,SIMILAC PLUS 1                400GM,0,3
469,SIMVIT OD CAP                 1*10CAP,0,3
470,SINAREST SYRUP                60ML,0,6
471,SITLIN H TAB                  1*10TAB,0,5
472,SITLIN PLUS TAB               1*10TAB,0,4
473,SKINSHINE CREAM               15GM,10,11
474,SKINSHINE SOAP                75GM,6,6
475,SOBISIS TAB                   1*10TAB,0,7
476,SOLIAN 50MG TAB               1*15TAB,5,8
477,SOLU MEDROL 125MG INJ         2ML,0,1
478,SOMPRAZ 40MG TAB              1*15TAB,0,2
479,STALOPAM PLUS TAB             1*15TAB,0,0
480,STAMLO 5MG TAB                1*30TAB,0,5
481,STATBONE TAB                  1*15TAB,4,4
482,STEMETIL MD TAB               1*15TAB,0,3
483,SUCRAL O SYRUP                200ML,0,3
484,SUGAMET G 2 MG TAB            1*10TAB,0,8
485,SUGAR FREE GOLD               300TAB,0,21
486,SULISENT 100MG TAB            1*10TAB,0,3
487,SURBEX GOLD CAP               1*15CAP,3,4
488,SUSTEN 100MG INJ              1ML,5,1
489,SWICH DROPS                   10ML,2,3
490,SYNDOPA PLUS TAB              1*15TAB,0,12
491,TAXIM O CV 200MG TAB          1*10TAB,0,3
492,TAXIM OF TAB                  1*10TAB,0,2
493,TELEACT AM TAB                1*10TAB,5,6
494,TELLZY 40MG TAB               1*15TAB,0,3
495,TELMA AM TAB                  1*30 TAB,0,8
496,TELMIKIND AM TAB              1*10TAB,0,2
497,TELMIKIND H 40MG TAB          1*10TAB,0,9
498,TELMIKIND H 80MG TAB          1*10TAB,0,0
499,TELPRES CT 40/6.25MG TAB      1*15TAB,0,4
500,TELVAS 20MG TAB               1*15TAB,0,11
501,TELVAS 3D 80MG TAB            1*10TAB,0,0
502,TELVAS-AM TAB                 1*10TAB,0,8
503,TELVAS-CT 40MG TAB            1*10TAB,0,8
504,TENDIA M TAB                  1*15TAB,0,3
505,TENEPRIDE M 1000MG TAB        1*10TAB,0,4
506,TENOVATE CREAM                30GM,0,2
507,TENOVATE OINT                 15GM,0,3
508,TERELATE 40MG TAB             1*15TAB,0,5
509,TETMOSOL SOAP                 100GM,0,5
510,TETRAFOL PLUS TAB             1*10TAB,0,5
511,TFCT NIB TAB                  1X10,0,5
512,THERMOSEAL RA PASTE           100GM,6,6
513,THYRONORM 100MG TAB           100TAB,0,2
514,THYRONORM 50MG TAB            100TAB,5,7
515,THYROX 100MG TAB              100TAB,0,3
516,THYROX 12.5MG TAB             100TAB,0,2
517,THYROX 50MG TAB               100TAB,0,4
518,TIATE TRANSCAPS               1X30,0,2
519,TIDE 10MG TAB                 1*10TAB,0,7
520,TOPAZ 50MG TAB                1*15TAB,0,7
521,TOPISAL 3% OINT               30GM,0,3
522,TOPISAL 6% LOTION             30ML,0,1
523,TORBULK POWDER                180GM,0,2
524,TOXOPLAS TAB                  1*10TAB,3,4
525,TRAMABIT P                    1*10TAB,5,3
526,TRAZONIL 25MG TAB             1*10TAB,0,7
527,TRETIN 0.025% CREAM           30GM,0,1
528,TRETIVA 10MG CAP              1*10CAP,3,4
529,TRIBEN B LOTION               30ML,0,0
530,TRIEXER 1MG TAB               1*10TAB,0,2
531,TRINERVE LC TAB               1*10TAB,4,3
532,TRIOLMEZEST 40MG TAB          1*10TAB,0,4
533,TRIPRIDE-2 MG TAB             1*15TAB,0,4
534,TRIPTAZ 10                    1X10,0,7
535,TRYPTOMER 10MG TAB            1*30TAB,0,5
536,TSART AM 40MG TAB             1*15TAB,0,4
537,TUKAST L TAB                  1*10TAB,0,0
538,UBEGOLD                       1*10,3,3
